blueTeamTotalKills,blueTeamDragonKills,blueTeamHeraldKills,blueTeamTotalGold,blueTeamXp,blueTeamTotalDamageToChamps,blueWin
-5,1,0,-1118,210,-768,0
-5,-1,0,-2384,37,-4945,0
-2,-1,1,2176,-603,3109,0
4,0,1,1720,1591,7431,1
-12,-2,-1,-4357,-3550,-8553,0
6,2,0,-867,744,-306,1
6,1,0,3729,1870,30,1
-4,-1,0,869,345,6062,1
-1,-1,1,-586,-1124,-5197,0
-4,-2,0,-5305,-2939,-10425,0
-7,-2,0,-4224,377,-771,0
6,2,0,4877,5348,7594,1
1,0,1,2116,3463,-499,1
-19,-2,0,-7743,-5640,-11490,0
-9,-2,0,-3948,-3772,-8293,0
6,1,0,262,-394,11648,0
4,0,1,4129,3912,9783,1
-3,-2,0,531,421,-3739,0
-11,-2,0,-2235,-2392,-10214,0
-4,2,0,-1749,-1229,-8343,0
-9,-2,0,-2370,-1026,-3414,0
-9,-1,0,-830,766,-15072,0
17,0,0,9447,5610,23389,1
7,2,0,4737,2565,1290,1
18,2,1,9227,5747,11697,1
3,-2,0,2410,1572,-2460,1
14,1,1,6768,6977,13180,1
5,-1,0,6960,4816,11757,1
8,2,0,3792,1553,7712,1
5,-2,0,-1595,68,2661,0
-11,-2,0,-7459,-3021,-5349,0
7,0,0,4715,2378,5480,1
2,-2,0,1916,-466,912,0
-5,0,0,-1192,-547,776,0
-13,-1,0,-8182,-4543,-13596,0
-5,-2,0,-3435,-3369,-6772,0
0,-2,1,2735,1018,8953,0
-2,0,0,2542,442,-3258,1
-6,0,0,-2580,-2499,-9795,0
1,-1,1,1418,129,2713,0
-12,-2,0,-7170,-3323,-9698,0
5,-1,0,1494,1845,3176,1
5,2,1,-1284,852,-960,0
-14,2,0,-5559,-4224,-2880,0
2,2,0,1863,1443,-2955,1
7,1,0,4597,3188,11236,1
8,2,0,8888,6500,18997,1
2,0,1,-139,883,-1210,1
11,0,0,5582,2284,12044,1
5,2,0,4201,1220,-1916,1
-1,1,0,1003,958,-5271,1
8,2,0,4061,3903,8934,1
4,2,-1,3261,3296,14556,1
-1,-2,0,342,-319,-2283,0
13,0,0,6526,1019,4742,1
7,2,0,6234,3755,7078,1
7,0,1,7722,5614,4519,1
11,2,0,6951,5399,444,1
12,2,0,8121,5403,13107,1
5,0,0,2084,656,9701,0
8,-1,1,3586,2526,7595,1
-1,-2,0,367,-10,1643,0
9,2,1,4444,1829,7964,1
9,1,0,7106,6421,4655,1
-2,2,0,-1763,-11,2379,0
-5,-2,0,-708,-1362,10056,0
4,1,0,2282,2045,9694,1
9,1,0,5150,2657,7863,0
5,-1,0,4018,3511,9789,1
-4,0,0,-1751,-439,-5612,0
11,0,0,2552,1967,4034,1
2,2,0,3091,3125,4747,1
1,-2,1,341,1328,824,1
-2,2,-1,-1801,-2563,-4532,0
-7,1,0,-2664,-2493,-2858,0
4,1,0,-408,280,-4316,0
-7,-2,0,-4757,-2236,-4617,0
-1,-1,0,1806,466,5942,1
3,1,0,1852,1895,3302,0
-6,-2,0,-6662,-6285,-9931,0
-1,-2,-1,-671,-472,727,0
12,-2,0,3774,578,4157,0
-1,1,0,-246,-338,1090,0
0,0,0,-2691,-493,-3950,0
-4,-2,0,-2440,-2343,-7898,0
1,1,0,3436,2050,-4468,1
0,1,0,-2264,-1172,505,0
-7,-1,0,-4683,-3633,-8548,0
10,1,0,7185,5175,9386,1
-3,0,0,-1445,-1702,-4283,0
4,-1,0,989,260,2332,1
1,2,0,-435,1312,6673,1
-6,-2,0,-6996,-5232,-8534,0
23,0,0,14190,6239,22662,1
-7,-2,0,-5854,-3956,-2528,0
-12,-1,0,-1153,-1027,-10154,0
11,2,1,2929,1814,9167,0
-3,-1,0,-1432,-977,-6561,0
4,-2,0,4599,2608,3385,1
6,-2,0,4389,2515,11788,1
14,-1,1,8543,4893,8105,1
-5,-2,-1,-3919,-4767,-9706,0
-2,-2,0,-1297,393,-4866,0
7,0,0,4759,1108,8434,0
3,0,1,1691,-3775,5484,0
3,0,0,3473,4518,6825,1
-4,0,0,99,-682,2793,1
-7,0,0,-4607,-1738,-9095,0
2,-2,1,2833,2794,2853,0
0,1,0,3613,348,5816,1
4,-1,0,4444,1180,7354,1
-1,0,0,873,448,1942,1
-11,-2,0,-6954,-5940,-12484,0
0,-2,0,1587,1693,337,0
-6,-2,0,-2525,-2342,1536,0
-6,0,0,-2544,-3011,-3232,0
5,-2,-1,1681,1500,1392,1
5,1,0,4298,2150,2331,0
-11,-2,0,-6246,-5263,-11948,0
3,-2,0,5054,1722,1357,0
-7,-2,0,-5153,-2744,-14118,0
-1,2,0,-1296,1509,2907,1
10,2,0,1514,1696,1352,1
15,0,0,6699,3752,19259,1
12,-2,0,9163,4521,8374,1
10,0,0,6535,4186,3127,1
-2,-2,-1,-122,606,-4409,0
19,-1,0,11912,7316,17384,1
10,2,1,1944,2184,14496,1
3,-1,0,851,529,-1057,1
-3,-2,0,-572,-2249,290,0
-7,-2,0,-3015,-2506,-14412,0
-1,-2,0,2703,173,4756,1
1,-1,0,1107,1028,4775,1
-1,0,0,-403,436,-7379,0
11,2,-1,4220,1271,4388,1
-5,-2,0,-2340,-1454,-4500,0
-3,-2,0,-1850,-157,-2001,0
5,1,-1,872,-394,2856,1
7,1,0,3846,1321,10848,1
15,0,1,7763,5207,7594,1
-2,1,0,-2457,-3437,-4100,0
-10,-1,0,-7065,-2807,-18063,0
-18,-1,-1,-6059,-4669,-3494,0
6,-1,0,1576,27,7819,0
7,-1,0,3160,741,3844,1
-1,0,0,424,717,5193,0
9,0,1,6279,4681,10952,1
1,0,-1,-1283,1204,592,0
-6,1,0,-3846,-2346,-1127,0
-1,2,0,-1358,3151,-889,0
-4,-2,-1,-1106,-949,10751,0
4,0,0,778,617,4641,1
5,0,0,5089,2658,7247,1
11,2,0,4719,3545,8757,1
0,0,-1,1172,-1319,127,1
-1,0,0,-553,-4943,-4296,0
-13,-1,-1,-7281,-3971,-6746,0
-13,-2,0,-9037,-5422,-17570,0
6,0,0,2114,1571,11047,0
-8,-1,-1,-4709,-1926,-9144,0
3,2,0,4895,4850,9528,1
6,2,0,3731,1253,2525,1
11,1,0,4904,1215,11526,1
5,2,0,8164,5144,10543,1
0,1,0,-2627,-1944,-12127,0
-12,-1,-1,-8671,-6497,-6224,0
1,0,0,1731,867,1022,0
11,1,0,5149,3956,5560,1
1,-1,-1,645,-200,-3977,0
-9,-1,0,-8957,-6444,-14003,0
-11,-2,0,-6467,-5010,-10053,0
-10,-1,1,-6731,-2508,-10118,0
1,1,0,3500,0,-2375,0
0,1,0,-19,-13,-1380,0
-16,1,-1,-5381,-3600,137,0
-5,2,0,1911,-944,4390,1
-5,-2,0,-4846,-1777,-9640,0
3,-1,0,-485,-314,-106,0
2,2,0,-872,-1023,6758,1
-7,1,0,-3014,-2144,-9088,0
-6,-2,0,-2321,-2242,-90,0
-19,-1,0,-9883,-7867,-15863,0
0,1,0,-3632,-3403,500,0
-8,-2,0,-3143,-2229,-8889,0
-8,-1,0,-7480,-4927,-14370,0
-1,-1,1,-2203,-393,535,0
6,2,0,3876,2559,11682,1
2,1,0,2645,220,5326,0
9,0,0,8946,7547,9693,1
-7,-1,0,-5210,-4044,-3113,0
-6,-1,0,-7066,-2720,-5753,0
1,-1,0,880,1864,550,1
4,2,1,4685,1735,2739,1
-14,-1,-1,-7730,-3168,-11007,0
-5,0,0,-4279,-3273,-3982,0
-3,0,-1,-4102,-4447,-5365,0
-14,-2,-1,-5281,-3842,-11367,0
7,1,0,5574,3365,-712,1
-10,0,-1,-5007,-1507,-3459,0
8,-1,0,3597,2103,11311,1
6,0,0,4144,3806,5382,1
3,-2,1,-14,-670,-4161,0
0,-2,0,897,-1446,-1160,0
11,1,0,6532,3343,12577,1
3,2,0,315,1733,-1200,0
-7,-2,0,-4310,-793,-12788,0
5,2,0,2065,3153,1577,1
11,0,0,8165,3924,15626,1
-4,2,0,-1761,-1734,2493,0
6,-1,0,1506,225,-3534,1
-7,0,-1,-3662,-2310,-3775,0
1,-2,0,223,-611,653,1
-15,-2,0,-6966,-5833,-23238,0
2,0,0,-283,-382,-5377,0
6,2,0,3715,660,5819,0
12,2,0,5588,5590,8784,1
0,1,-1,-1154,48,780,1
9,1,0,4474,718,-3378,1
7,0,0,4419,3100,1080,1
-6,-1,0,-6390,-4581,-10977,0
13,1,0,12865,8688,12812,1
-6,-2,0,-3272,-2552,-8594,0
11,2,0,4769,3115,11942,1
-1,-2,1,-2194,630,-3950,0
-3,-2,-1,-3033,-3156,-7056,0
7,1,1,5439,3990,1470,1
-4,-2,1,280,-40,-5554,0
5,-2,0,3564,1672,3190,1
5,0,1,3566,2174,-2026,0
6,1,0,4204,2772,4811,1
-2,0,0,998,-1283,7774,1
3,1,0,4130,1362,9615,1
4,0,0,2371,1662,10498,1
13,2,1,7903,7064,11118,1
-2,0,0,-705,1020,955,0
12,0,0,7221,6999,15385,1
3,-2,0,1341,-569,3068,0
14,1,0,8709,5536,10074,1
5,0,0,3155,2903,2309,1
-8,0,1,-3661,-2281,-5764,0
5,2,0,5060,5009,12311,1
2,0,0,675,-1265,1932,0
12,2,1,6866,2759,4387,1
-4,0,-1,-5996,-3798,-14003,0
10,2,1,7001,2732,7529,1
-3,-2,0,-5162,-1784,-9413,0
-6,-1,0,-2725,-1953,-6298,0
1,-1,0,3787,498,9696,1
9,1,0,6892,2549,8571,1
-9,-2,0,-3302,-1622,1443,0
3,2,1,2182,-5,6318,1
-3,0,0,-1824,-1181,-10029,0
3,0,0,2669,1400,4243,1
2,-1,-1,2793,1308,8,1
1,0,1,830,-619,-8982,0
-6,-2,0,-3877,-2738,-5910,0
3,0,0,2363,1825,6470,1
-14,-1,-1,-13520,-6167,-9939,0
5,0,1,3848,2427,10612,1
3,0,1,3453,4365,4072,1
13,2,0,5335,7127,4093,1
10,0,0,7875,3415,14755,0
4,-2,1,4938,35,2560,1
3,0,-1,332,1403,453,1
-13,-2,0,-8846,-6587,-6375,0
17,1,0,6690,1429,7962,0
-4,-1,0,-820,-922,4294,0
-2,0,-1,-1225,-220,4427,0
4,1,0,2147,3952,5886,1
4,2,0,1433,-64,5689,1
1,0,1,4265,2550,-5824,1
14,1,0,8430,5139,12439,1
4,0,0,1315,-230,-2401,1
9,0,0,9961,5268,16852,1
14,1,0,7438,4666,13679,1
-2,0,0,-2163,-3019,-2950,0
2,0,0,-1199,1717,1801,0
2,0,1,338,510,6177,1
-9,-1,0,-4423,-2964,-12422,0
-5,1,0,-3207,-3100,-293,0
0,1,0,-919,-556,-132,0
4,0,-1,1279,-1081,399,0
-8,-2,0,-4176,-3380,-3123,0
1,-2,0,1526,1005,3233,1
17,0,0,8970,5959,11707,1
-4,1,1,2530,803,5099,1
-10,-1,0,-7971,-6055,-1396,0
-1,-2,0,2249,1023,4859,1
-5,-2,-1,-3271,-2685,-9835,0
-9,-2,-1,-879,-230,4687,0
2,0,0,1393,1113,2002,1
-11,-2,0,-3312,-3904,-2917,0
-6,-1,0,-3792,-3338,-324,0
2,-1,0,-411,-3213,4112,0
6,-2,1,3356,2155,424,1
-4,1,0,-1160,-734,-3541,0
-6,-2,0,-3030,-3243,-3215,0
3,0,0,2370,836,605,1
-11,-2,0,-6776,-2571,-10716,0
-8,-1,0,-5335,-7139,-12022,0
-10,2,0,-8575,-3862,-8043,0
2,2,0,618,2505,-3886,1
-11,-2,0,-10014,-6656,-14687,0
11,-2,-1,5361,3329,5223,1
-9,-1,-1,-6414,-5602,-16494,0
3,0,0,769,-1046,-2327,1
4,-2,0,4229,3394,-2943,1
-9,0,0,-1591,267,1139,1
-3,-2,1,-880,-161,1418,0
-7,-2,0,-3364,-1516,-13123,0
